"","WM115","WM1205Lu","WM266-4","WM793"
"P05141",226.808081568349,291.795436946845,250.493624996512,502.563716250828
"P05198",493.603400314275,368.174454666036,330.621892031854,421.759633451081
"P05362",915.31337283056,1652.714087599,602.531865223273,1011.82606419665
"P05386",364.221666666666,371.782496638322,180.932650514088,222.110047582256
"P05387",278.455,634.180454022557,183.116428571428,445.462532467532
"P05388",505.051188955292,686.546519026527,545.981854449804,806.926294752906
"P05455",194.955,236.160705102328,244.828917005162,540.156526247112
"P05556",1327.51880892775,2626.32076326336,1436.84399815704,1515.29910788874
"P06396",2397.04571463039,1427.28464627016,2949.06334092485,1231.08919213728
"P06576",1043.01124815259,1678.55811378373,654.722737429293,2578.56958715607
"P06703",53.04,68.17503882955,44.845,187.712216090772
"P06733",8765.43731681189,3798.09315623729,8043.27424716015,3913.14746895173
"P06737",777.459615384616,521.134344752468,649.897857142857,418.016467895315
"P06744",1304.54483169181,795.060597308545,1800.88643477081,653.576792164863
"P06748",527.693922188369,873.685854345867,594.659011130223,1024.45656385832
"P06756",1745.766397173,2199.19103067683,1282.58982509644,2100.49967250141
"P07093",3893.21944609283,2604.66398474877,1911.52314047545,2947.14854649698
"P07099",72.495,101.295862597144,142.295915067841,203.80091848255
"P07195",1673.85605046107,1700.22454730426,1721.52297647358,1448.89403184752
"P07237",1147.57372218002,1583.27675602885,1464.82950948118,1961.34332465231
"P07339",689.560112543722,299.72369528889,296.961463607406,531.520245370595
"P07355",4775.54979495651,4873.39643995021,3371.1276185936,4336.88057477559
"P07384",311.222727272728,222.121722913625,284.679643182792,209.148008753779
"P07437",3750.97170500694,3472.60605069197,4891.14575434623,3769.97575731319
"P07602",45.375,74.6232682343505,40.1521968632008,103.306590589603
"P07737",1558.86245067685,1505.85190659408,1704.39004003451,1375.16566006575
"P07741",322.645418536761,149.126449951491,285.098207137583,247.886375215991
"P07814",1109.00935120529,1064.91345622127,859.282158161538,920.963282040841
"P07858",536.15857602979,267.284330958507,159.240035050498,238.177516333214
"P07900",4355.83098871104,3746.60718463063,3901.5368992809,3538.82612478247
"P07910",258.778555194385,462.002347799571,108.376481377974,618.296879500771
"P07942",679.108495167445,861.919948812671,328.772230609448,1228.74478699259
"P07954",232.22,294.668946336422,361.485670014275,598.561651008739
"P08107",1390.32941762028,1518.21646275665,1287.39439425379,1520.59810424664
"P08133",1417.58206708378,2594.13397541491,993.870489579081,2858.96064778913
"P08134",549.300869565217,555.516848653474,546.182777777778,440.071153846154
"P08195",2368.98932544196,1913.58253549279,2003.22132697398,1783.29637212496
"P08238",4715.49940171505,4069.66655919049,4004.29339769212,4015.21855244717
"P08243",288.28,529.329525204291,220.527828557983,153.677072913469
"P08582",584.471829157947,2307.08596542639,819.164709031711,879.430977751541
"P08648",197.865,231.878285661909,298.265266289585,155.525
"P08670",2875.05203379636,3757.030587945,2342.02879899409,2773.46846028286
"P08754",2377.68433595738,1891.82372188932,2011.99297811299,1571.94387507072
"P08758",3655.74264245211,2269.18153537785,2987.5142831602,2169.74864371359
