,WM115,WM266-4,WM793,WM1205Lu
ADIPOR1P2,0,0,0,1
ADIPOR2,6237,2213,18591,4037
ADIRF,0,0,295,0
ADIRF-AS1,500,149,11518,283
ADK,837,705,5858,749
ADM,3271,1027,239,26
ADM2,33,5,698,21
ADM5,62,65,377,51
ADNP,7475,2509,33952,5157
ADNP-AS1,111,17,100,54
ADNP2,1788,1024,11165,1108
ADO,1315,575,15516,2157
ADORA1,449,23,625,204
ADORA2A,6,0,286,4
ADORA2A-AS1,15,3,13,6
ADORA2B,405,477,1642,866
ADORA2BP1,0,0,0,0
ADPGK,5767,1740,14683,1717
ADPGK-AS1,17,0,23,2
ADPRH,495,555,2004,441
ADPRHL1,84,82,437,18
ADPRHL2,871,433,6665,403
ADPRM,389,137,4017,67
ADRA1A,7,0,63,0
ADRA1B,86,0,1476,601
ADRA1D,7,0,825,33
ADRA2A,2306,0,23,12
ADRA2B,2,0,40,0
ADRA2C,4,10,2,2
ADRB1,16,0,49,4
ADRB2,197,3,166,24
ADRB3,0,0,0,0
ADRM1,6476,2148,57817,5522
ADSL,3204,2370,8031,2149
ADSS,6657,4530,11619,2063
ADSSL1,138,173,879,72
ADTRP,22,1,74,0
AEBP1,17695,10259,6615,4818
AEBP2,1927,531,7752,1122
AEN,5432,1550,50201,1587
AES,10449,3033,32143,5350
AFAP1,10604,2153,50839,10640
AFAP1-AS1,81,7,129,122
AFAP1L1,8244,1915,2568,1789
AFAP1L2,35,9,1570,2989
AFDN,13784,2734,31430,2265
AFDN-DT,204,33,51,11
AFF1,2810,1333,13108,965
AFF2,2,2,642,92
AFF2-IT1,0,0,8,0
AFF3,180,4,31637,967
AFF4,13252,3048,65155,6885
AFG1L,347,233,1278,117
AFG3L1P,1849,872,4550,542
AFG3L2,3635,2151,17922,704
AFG3L2P1,0,0,1,1
AFM,2,0,0,0
AFMID,685,452,2969,411
AFP,10,0,0,0
AFTPH,2462,782,12094,667
AGA,2267,1514,2543,310
AGAP1,4693,1005,16843,2382
AGAP1-IT1,8,3,34,3
AGAP10P,8,4,75,3
AGAP11,0,0,208,0
AGAP12P,6,9,134,9
AGAP14P,0,0,287,5
AGAP2,265,74,1822,252
AGAP2-AS1,683,266,1857,587
AGAP3,6601,3802,25880,3677
AGAP4,315,58,2019,96
AGAP5,59,42,555,10
AGAP6,694,344,6097,275
AGAP7P,0,1,86,16
AGAP9,337,149,1878,102
AGBL1,0,0,0,0
AGBL1-AS1,0,0,0,0
AGBL2,60,86,94,21
AGBL3,246,69,595,25
AGBL4,2,0,5,0
AGBL4-IT1,0,0,0,0
AGBL5,1852,1012,4666,966
