,WM115,WM266-4,WM793,WM1205Lu
MIR5011,0,0,0,0
MIR502,0,0,0,0
MIR503,9,0,11,0
MIR503HG,392,157,297,68
MIR504,0,0,0,0
MIR505,0,0,4,0
MIR506,0,0,0,0
MIR507,0,0,0,0
MIR508,0,0,0,0
MIR5088,1,0,0,0
MIR5089,0,0,15,0
MIR509-1,0,0,0,0
MIR509-2,0,0,0,0
MIR509-3,0,0,0,0
MIR5091,0,0,2,2
MIR5092,0,0,0,0
MIR5093,1,0,0,0
MIR5094,1,0,17,0
MIR5095,0,0,0,0
MIR5096,0,0,0,0
MIR510,0,0,0,0
MIR5100,0,0,0,0
MIR511,0,0,0,0
MIR512-1,0,0,9,0
MIR512-2,0,0,2,0
MIR513A1,0,0,0,0
MIR513A2,0,0,0,0
MIR513B,0,0,0,0
MIR513C,0,0,0,0
MIR514A1,0,0,0,0
MIR514A2,0,0,0,0
MIR514A3,0,0,0,0
MIR514B,0,0,0,0
MIR515-1,0,0,8,0
MIR515-2,0,0,14,0
MIR516A1,0,0,3,0
MIR516A2,0,0,4,0
MIR516B1,0,0,2,0
MIR516B2,0,0,5,0
MIR517A,0,0,0,0
MIR517B,0,0,4,0
MIR517C,0,0,3,0
MIR5186,0,0,0,0
MIR5188,1,0,5,0
MIR5189,0,0,6,0
MIR518A1,0,0,4,0
MIR518A2,0,0,2,0
MIR518B,0,0,3,0
MIR518C,0,0,2,0
MIR518E,0,0,3,0
MIR518F,0,0,10,0
MIR5190,0,0,2,0
MIR5191,2,0,6,0
MIR5192,0,0,0,0
MIR5194,0,0,4,0
MIR5195,0,0,0,0
MIR5197,0,0,0,0
MIR519A1,0,0,3,0
MIR519B,0,0,1,0
MIR519C,0,0,4,0
MIR519D,0,0,7,0
MIR519E,0,0,6,0
MIR520A,0,0,2,0
MIR520B,0,0,2,0
MIR520C,0,0,1,0
MIR520D,0,0,4,0
MIR520E,0,0,10,0
MIR520F,0,0,14,0
MIR520G,0,0,10,0
MIR520H,0,0,6,0
MIR521-1,0,0,4,0
MIR521-2,0,0,6,0
MIR522,0,0,6,0
MIR524,0,0,3,0
MIR525,0,0,7,0
MIR526A1,0,0,1,0
MIR526A2,0,0,3,0
MIR526B,0,0,6,0
MIR527,0,0,2,0
MIR532,0,0,1,0
MIR539,0,0,7,0
MIR541,0,0,33,0
MIR542,0,0,2,0
MIR543,0,0,6,0
MIR544A,0,0,13,0
MIR544B,1,0,9,1
MIR545,1,0,0,0
MIR548A1,0,0,0,0
MIR548A2,0,0,0,0
MIR548A3,1,0,3,0
MIR548AA1,8,8,0,0
MIR548AA2,0,0,2,0
MIR548AB,0,0,0,0
MIR548AC,9,0,4,0
MIR548AD,0,0,0,0
MIR548AE1,0,0,0,0
MIR548AE2,0,0,0,0
MIR548AG1,0,0,0,0
MIR548AG2,0,0,0,0
MIR548AI,0,0,0,0
MIR548AJ1,0,0,0,0
MIR548AJ2,0,0,0,0
MIR548AK,0,0,0,1
MIR548AL,1,0,0,0
MIR548AM,0,0,1,0
MIR548AN,5,0,5,0
MIR548AO,1,0,8,3
MIR548AP,0,0,0,0
MIR548AQ,0,0,30,0
MIR548AR,7,0,4,0
MIR548AS,0,0,2,0
MIR548AT,5,0,10,2
MIR548AV,1,0,0,0
MIR548AW,0,0,0,0
MIR548AX,0,0,0,0
MIR548AY,0,0,3,0
MIR548AZ,0,0,0,0
MIR548B,0,0,0,0
MIR548BB,0,0,1,0
MIR548C,1,0,2,0
MIR548E,0,0,2,0
MIR548F1,0,0,0,0
MIR548F2,1,0,0,0
MIR548F3,0,0,0,0
MIR548F4,0,0,0,0
MIR548F5,0,0,0,0
MIR548G,0,0,0,0
MIR548H1,0,0,0,0
MIR548H2,0,0,0,0
MIR548H3,0,0,5,0
MIR548H4,0,0,0,0
MIR548H5,0,0,0,0
MIR548I1,1,0,2,0
MIR548I2,0,0,0,0
MIR548I3,0,0,0,0
MIR548I4,0,0,1,0
MIR548J,1,0,0,0
MIR548K,0,0,6,0
MIR548L,1,0,3,0
MIR548M,0,0,0,0
MIR548N,3,0,5,0
MIR548O,0,0,1,0
MIR548P,0,0,0,0
MIR548Q,0,0,0,0
MIR548S,0,0,2,0
MIR548T,0,0,1,0
MIR548U,0,0,0,0
MIR548V,0,0,1,0
MIR548W,0,0,0,0
MIR548X,0,0,0,0
MIR548X2,0,0,0,0
MIR548Y,0,0,0,0
MIR549A,0,0,2,0
MIR550A1,0,0,3,0
MIR550A2,1,0,8,0
MIR550A3,1,0,8,1
MIR551A,0,0,0,0
MIR551B,0,0,1,0
MIR552,0,0,0,0
MIR553,2,0,16,2
MIR554,0,0,19,0
MIR556,0,0,3,0
MIR557,0,0,0,0
MIR5571,0,0,0,0
MIR5579,0,0,0,0
MIR558,0,0,5,1
MIR5580,0,0,0,0
MIR5581,19,0,20,3
MIR5582,0,4,10,1
MIR5583-1,0,0,0,0
MIR5584,0,0,0,0
MIR5585,2,3,3,0
MIR5586,0,0,0,0
MIR5587,32,3,99,10
MIR5588,0,0,0,0
MIR5589,0,0,0,0
MIR559,0,0,0,0
MIR5590,0,0,0,0
MIR5591,0,0,0,0
MIR561,3,0,13,1
MIR562,0,0,5,0
MIR563,3,0,21,1
MIR566,0,0,0,0
MIR567,0,0,2,0
MIR5680,1,0,0,0
MIR5681A,0,0,0,0
MIR5682,0,0,0,0
MIR5684,1,0,0,0
MIR5685,9,0,0,0
MIR5687,0,0,4,0
MIR5688,0,0,0,0
MIR5689,0,0,0,0
MIR569,1,0,6,0
MIR5690,0,0,4,0
MIR5691,0,0,2,0
MIR5692A1,0,0,0,0
MIR5692A2,0,0,0,0
MIR5692B,0,0,0,0
MIR5692C1,0,0,0,0
MIR5692C2,0,0,29,0
MIR5693,1,0,0,2
MIR5694,0,0,0,0
MIR5695,0,0,0,3
MIR5696,0,0,0,0
MIR5697,1,0,20,0
MIR5698,0,0,2,0
MIR5699,0,0,0,1
MIR570,45,70,439,32
MIR5700,0,0,0,0
MIR5701-1,0,0,0,0
MIR5701-2,0,0,0,0
MIR5701-3,0,0,0,0
MIR5702,0,0,1,0
MIR5704,0,0,0,0
MIR5705,0,0,0,0
MIR5706,0,0,1,0
MIR5707,0,0,0,0
MIR5708,0,0,0,0
MIR571,0,0,2,0
MIR572,0,0,0,0
MIR573,8,5,119,6
MIR5739,0,0,0,0
MIR574,4,4,6,2
MIR575,0,0,2,0
MIR576,0,0,13,1
MIR577,0,0,0,0
MIR578,0,0,1,0
MIR5787,1,0,8,4
MIR579,3,9,12,4
MIR580,7,0,1,0
MIR581,2,0,2,1
MIR582,0,0,0,0
MIR583,0,0,1,0
MIR584,1,0,3,0
MIR585,0,0,0,0
MIR586,0,0,0,0
MIR587,0,0,0,0
MIR588,0,0,1,0
MIR589,15,0,78,10
MIR590,69,2,194,15
MIR591,0,0,0,0
MIR592,0,0,1,0
MIR593,2,9,9,2
MIR595,0,0,0,0
MIR596,0,0,2,0
MIR597,0,0,13,0
MIR598,2,0,5,0
MIR599,0,0,0,0
MIR600HG,211,164,1112,34
MIR601,0,0,13,1
MIR602,0,2,4,0
MIR603,0,0,2,0
MIR604,0,0,10,0
MIR605,0,0,2,0
MIR606,0,0,9,0
MIR6068,0,0,0,0
MIR6069,3,0,0,0
MIR607,0,0,0,0
MIR6070,0,0,1,0
MIR6071,9,4,0,0
MIR6072,0,0,0,0
MIR6074,0,0,0,0
MIR6075,0,0,2,3
MIR6076,0,0,1,1
MIR6077,0,0,0,0
MIR6078,0,0,0,0
MIR608,0,0,1,0
MIR6080,0,0,13,0
MIR6081,1,0,3,0
MIR6082,0,0,0,0
MIR6083,0,0,0,0
MIR6085,0,0,0,0
MIR6087,0,0,33349,0
MIR6088,0,0,0,0
MIR6089,0,0,2,0
MIR609,0,0,1,0
MIR6090,0,0,6,1
MIR610,0,0,0,0
MIR6124,0,0,3,0
MIR6126,0,0,23,0
MIR6128,0,0,0,0
MIR6129,0,0,1,0
MIR613,0,0,1,1
MIR6130,0,0,0,0
MIR6131,0,0,4,0
MIR6133,0,0,0,0
MIR6134,0,0,0,0
MIR615,0,0,0,1
MIR616,49,2,427,3
MIR6165,2,0,7,0
MIR617,0,0,0,0
MIR618,0,0,0,0
MIR619,6,7,12,1
MIR620,0,0,2,0
MIR621,89,95,466,67
MIR623,2,0,7,1
MIR624,0,0,5,0
MIR625,0,0,0,0
MIR626,0,0,3,0
MIR627,0,0,2,0
MIR629,0,0,1,0
MIR633,0,0,0,0
MIR634,0,0,0,0
MIR635,132,55,204,46
MIR638,0,0,1,0
MIR640,1,0,4,0
MIR641,4,0,27,0
MIR642A,2,0,5,0
MIR643,2,0,8,0
MIR644A,4,0,13,0
MIR645,2,0,78,0
MIR646,0,0,0,0
MIR646HG,0,0,2,0
MIR647,38,41,178,10
MIR648,2,0,8,2
MIR649,1,0,0,0
MIR6499,0,0,0,0
MIR6500,4,0,0,0
MIR6503,0,0,0,0
MIR6504,0,0,0,0
MIR6505,2,0,1,0
MIR6507,0,0,0,0
MIR6508,0,0,1,0
MIR6509,0,0,1,0
MIR651,0,0,0,0
MIR6511A1,0,0,0,0
MIR6512,0,0,27,0
MIR6514,2,0,5,0
MIR6515,0,0,0,0
MIR652,0,0,1,0
MIR653,0,0,0,0
MIR654,0,0,10,0
MIR655,0,0,21,0
MIR656,0,0,44,1
MIR657,0,2,1,1
MIR659,3,0,5,2
MIR660,0,0,0,0
MIR661,15,0,22,0
MIR662,0,0,0,0
MIR663AHG,26,8,161,1
MIR663B,0,0,0,0
MIR664A,0,4,1,0
MIR670,0,0,0,0
MIR670HG,0,0,0,0
MIR6715A,0,0,0,0
MIR6718,0,0,0,0
MIR6719,0,0,2,1
MIR6720,0,0,16,0
MIR6722,0,0,0,0
MIR6723,0,0,1,0
MIR6724-1,0,0,0,0
MIR6726,0,0,0,0
MIR6728,1,0,7,3
MIR6729,0,0,0,0
MIR6730,11,0,14,2
MIR6731,0,0,0,0
MIR6735,0,0,0,0
MIR6736,1,0,1,0
MIR6737,3,0,0,0
MIR6738,0,0,18,0
MIR6739,7,14,18,6
MIR6740,0,0,1,0
MIR6744,0,0,0,0
MIR6745,4,3,3,0
MIR6746,5,0,7,0
MIR6747,2,0,2,1
MIR6749,0,0,0,0
MIR6750,0,0,5,0
MIR6752,0,0,0,0
MIR6753,6,6,29,4
MIR6754,0,0,0,0
MIR6757,7,0,0,0
MIR6760,0,0,0,0
MIR6761,0,0,0,0
MIR6762,0,0,0,0
MIR6763,1,9,5,0
MIR6765,0,0,0,0
MIR6766,0,0,0,1
MIR6768,5,0,0,0
MIR6769A,1,2,9,1
MIR6769B,0,0,0,0
MIR6770-1,0,0,0,0
MIR6771,0,0,0,0
MIR6772,16,6,59,1
MIR6774,0,0,0,0
MIR6775,0,0,8,2
MIR6776,2,0,1,0
MIR6777,0,0,0,0
MIR6779,0,0,0,0
MIR6780A,0,0,0,0
MIR6780B,0,0,1,1
MIR6781,0,0,3,0
MIR6782,0,0,0,0
MIR6783,3,0,0,1
MIR6784,1,0,5,2
MIR6786,0,0,0,1
MIR6788,0,0,0,0
MIR6790,0,0,0,0
MIR6792,0,0,0,0
MIR6793,0,0,3,0
MIR6794,0,0,0,0
MIR6795,0,0,0,0
MIR6796,0,0,3,0
MIR6797,3,0,16,1
MIR6798,0,0,0,0
MIR6799,0,0,1,0
MIR6801,0,0,3,0
MIR6802,0,0,0,0
MIR6803,0,0,1,0
MIR6804,4,0,1,3
MIR6806,1,0,0,1
MIR6807,0,0,0,1
MIR6809,0,0,0,0
MIR6810,0,0,0,0
MIR6811,0,0,0,0
MIR6812,0,0,6,1
MIR6813,0,0,1,0
MIR6814,0,6,2,0
MIR6815,0,0,0,0
MIR6816,0,0,0,0
MIR6817,0,0,1,0
MIR6818,0,0,1,0
MIR6819,5,0,2,1
MIR6821,0,0,1,0
MIR6823,0,0,0,0
MIR6825,0,0,0,0
MIR6826,1,0,4,3
MIR6827,0,0,0,0
MIR6829,0,0,0,0
MIR6832,7,1,4,1
MIR6833,0,0,0,0
MIR6835,59,1,44,23
MIR6839,0,0,0,0
MIR6842,0,0,0,0
MIR6846,0,0,0,0
MIR6851,4,0,0,0
MIR6853,0,0,0,0
MIR6854,0,0,0,0
MIR6855,1,0,0,0
MIR6856,4,5,6,1
MIR6857,0,0,0,0
MIR6858,0,0,0,0
MIR6859-1,2,0,1,9
MIR6859-2,0,0,0,0
MIR6859-3,0,0,0,2
MIR6862-1,0,0,0,0
MIR6862-2,0,0,0,0
MIR6864,3,0,3,0
MIR6865,0,0,6,0
MIR6867,0,0,1,1
MIR6868,0,0,0,0
MIR6870,1,0,0,0
MIR6871,1,0,3,0
MIR6876,0,0,1,0
MIR6877,1,0,2,2
MIR6879,0,0,0,0
MIR6880,0,0,0,0
MIR6881,0,0,1,0
MIR6882,0,0,1,0
MIR6885,0,0,1,0
MIR6888,1,0,2,0
MIR6889,0,0,1,0
MIR6891,0,0,0,0
MIR6892,0,0,1,0
MIR6893,0,0,0,0
MIR6894,0,0,0,0
MIR6895,4,0,9,1
MIR7-2,0,0,0,0
MIR7-3,0,0,0,0
MIR7-3HG,0,1,1,0
MIR708,0,0,1,0
MIR7106,0,0,6,0
MIR7111,1,0,5,1
MIR7150,1,0,1,0
MIR7151,0,0,0,0
MIR7152,0,0,0,0
MIR7154,0,0,0,0
MIR7155,0,0,0,0
MIR7156,3,0,0,0
MIR7158,0,0,0,0
MIR7159,0,0,0,0
MIR7160,0,0,0,0
MIR7161,0,0,385,0
MIR744,0,0,4,0
MIR7515HG,0,0,0,0
MIR758,0,0,4,0
MIR759,0,0,0,0
MIR760,0,0,3,2
MIR762,0,0,237,0
MIR762HG,40,8,198,23
MIR764,0,0,0,0
MIR7641-1,0,0,1,0
MIR765,1,0,1,0
MIR766,0,0,1,0
MIR767,0,0,0,0
MIR769,1,0,10,0
MIR770,3,0,212,6
MIR7702,0,0,0,0
MIR7843,0,0,0,0
MIR7845,0,0,2,4
MIR7848,0,0,0,0
MIR7849,0,0,0,0
MIR7850,3,0,0,0
MIR7851,1,0,4,1
MIR7852,0,0,0,0
MIR7853,0,0,0,0
MIR7854,0,0,2,0
MIR7856,2,0,3,0
MIR7973-1,0,0,0,0
MIR7974,0,0,6,1
MIR7975,0,0,0,0
MIR7976,0,0,3,0
MIR802,0,0,0,0
MIR8052,0,0,0,0
MIR8053,0,0,0,0
MIR8054,0,0,0,0
MIR8055,1,7,3,2
MIR8056,0,0,0,0
MIR8057,0,0,0,0
MIR8058,0,0,88,3
MIR8059,0,0,1,0
MIR8060,0,0,0,0
MIR8061,0,0,0,0
MIR8062,0,0,0,0
MIR8063,0,0,1,0
MIR8064,4,0,1,0
MIR8065,0,0,0,0
MIR8066,0,0,1,0
MIR8067,0,0,0,0
MIR8068,0,0,0,0
MIR8069-2,0,0,0,0
MIR8070,0,0,2,0
MIR8071-1,0,0,0,0
MIR8071-2,0,0,0,0
MIR8073,0,0,1,1
MIR8074,0,0,0,0
MIR8075,0,0,1,1
MIR8076,1,0,1,0
MIR8077,0,0,0,0
MIR8078,0,0,1,1
MIR8079,0,0,0,0
MIR8080,0,0,0,0
MIR8081,18,0,5,0
MIR8082,0,0,1,0
MIR8083,0,0,0,0
MIR8084,0,0,0,0
MIR8086,0,0,0,0
MIR8087,1,0,0,0
MIR8088,0,0,0,0
MIR8089,0,0,0,0
MIR8485,0,0,0,0
MIR873,0,0,0,0
MIR874,0,0,0,0
MIR875,0,0,0,0
MIR876,0,0,0,0
MIR877,0,0,0,2
MIR885,0,0,0,0
MIR887,4,7,0,0
MIR888,0,0,0,0
MIR889,0,0,9,0
MIR890,0,0,0,0
MIR891A,0,0,0,0
MIR891B,0,0,0,0
MIR892A,0,0,0,0
MIR892B,0,0,0,0
MIR892C,0,0,0,0
MIR9-1,0,0,4,0
MIR9-3HG,4,0,238,8
MIR920,1,0,0,0
MIR921,7,0,4,0
MIR93,6,1,65,0
MIR933,0,0,2,2
MIR934,0,0,0,0
MIR938,2,0,11,0
MIR941-1,1,0,13,2
MIR941-2,0,0,2,0
MIR942,1,6,3,3
MIR944,0,0,0,0
MIR95,0,0,0,0
MIR96,0,0,5,0
MIR98,1,0,16,3
MIR99A,0,0,0,0
MIR99AHG,2,65,11,0
MIR99B,2,0,27,0
MIRLET7A1,0,0,117,1
MIRLET7A2,2,0,44,3
MIRLET7BHG,522,186,7016,384
MIRLET7C,0,0,0,0
MIRLET7D,29,14,324,5
MIRLET7DHG,15,14,10,2
MIRLET7E,0,0,30,0
MIRLET7F1,1,0,87,1
MIRLET7F2,0,0,10,0
MIRLET7G,0,0,64,1
MIRLET7I,12,0,139,1
MIS12,1905,911,7011,713
MIS18A,994,682,2309,575
MIS18A-AS1,42,0,0,11
MIS18BP1,2161,1767,3181,1769
MISP,1,5,52,6
MITD1,1284,551,4799,441
MITF,1493,9575,5698,172
MIXL1,0,4,6,1
MKI67,9039,9117,472,20692
MKI67P1,6,0,0,0
MKKS,2674,1287,5778,926
MKL1,1688,522,7133,1289
MKL2,3470,616,3643,1129
MKLN1,5504,1988,64919,2382
MKLN1-AS,305,166,700,83
MKNK1,1595,792,5825,370
MKNK1-AS1,30,12,10,1
MKNK2,1693,727,29578,750
MKNK2P1,0,0,0,0
MKRN1,8918,4399,33644,2229
MKRN2,3389,1246,9148,1375
MKRN2OS,23,17,1,5
MKRN3,1,6,1688,1
MKRN3-AS1,0,2,0,0
MKRN4P,0,1,0,0
MKRN5P,6,0,18,1
MKRN9P,403,117,8,0
MKS1,686,364,996,284
MKX,1,1,0,1
MKX-AS1,0,0,0,0
MLANA,21,2350,60,6
MLC1,2743,98,37,0
MLEC,23485,11539,30419,11874
MLECP1,0,0,0,0
MLF1,815,360,9944,576
MLF2,9474,2026,30019,8109
MLH1,2493,2088,5987,1282
MLH3,1958,1464,1001,179
MLIP,1,9,32,2
MLIP-AS1,0,0,0,0
MLIP-IT1,0,0,0,0
MLKL,310,283,1408,383
MLLT1,7881,2306,26663,3497
MLLT10,1442,1240,5763,857
MLLT10P1,26,29,19,2
MLLT10P2,0,0,1,0
MLLT11,5152,325,1393,1142
MLLT3,911,362,552,432
MLLT6,6931,3269,32087,1903
MLN,5,0,0,0
MLNR,2,0,4,0
MLPH,1717,1765,3107,2358
MLST8,1848,817,2789,933
MLX,3461,1559,13939,1469
MLXIP,4350,3219,15331,2156
MLXIPL,33,8,2391,0
MLYCD,1068,287,1813,197
MMAA,472,200,623,75
MMAB,1669,1060,1705,274
MMACHC,677,902,515,446
MMADHC,11961,3539,31357,2779
MMD,576,330,3471,1143
MMD2,0,0,2,0
MME,34,17,1722,26
MME-AS1,0,0,1,0
MMEL1,1,22,24,0
MMGT1,2929,1082,13040,1540
MMP1,209499,1778,321816,4
MMP10,21,0,206,0
MMP11,461,18,381,64
MMP12,2,0,2,0
MMP13,4,0,2,0
MMP14,56407,21492,27818,9238
MMP15,8149,2700,310,2279
MMP16,21259,3942,24388,5564
MMP17,10700,3415,6418,3247
MMP19,22,5,3347,5
MMP2,20481,5912,36861,4806
MMP20,0,1,0,0
MMP21,3,0,4,0
MMP23A,0,0,0,0
MMP23B,3,12,155,1
MMP24,104,49,1697,131
MMP24OS,1000,310,10990,1522
MMP25,166,19,7515,47
MMP25-AS1,700,131,1698,99
MMP26,0,0,0,0
MMP27,0,0,1,0
MMP28,49,1,0,10
MMP3,524,18,2512,1
MMP7,16,60,3,1
MMP8,10435,7261,101,46
MMP9,3,0,24,13
MMRN1,3,0,0,0
MMRN2,3,20,343,15
MMS19,2760,2811,9204,2429
MMS22L,1931,1167,557,1162
MN1,285,8,261,248
MNAT1,1390,607,9774,665
MND1,392,181,64,241
MNDA,1,0,0,0
MNS1,448,382,107,167
MNT,1324,695,12165,807
MNX1,16,0,64,63
MNX1-AS1,0,0,106,38
MNX1-AS2,0,0,13,0
MOAP1,1360,852,9162,193
MOB1A,9113,3155,21705,5589
MOB1AP1,0,0,0,0
MOB1AP2,0,0,0,0
MOB1B,5040,2196,15527,1316
MOB2,973,268,4567,632
MOB3A,1792,380,6900,837
MOB3B,60,204,491,11
MOB3C,809,155,16690,281
MOB4,3082,1337,8761,1516
MOBP,2,0,23,1
MOCOS,84,290,16171,190
MOCS1,733,343,1207,443
MOCS1P1,0,0,0,0
MOCS2,3505,1261,2736,1177
MOCS3,639,210,3937,473
MOG,11,30,45,7
MOGAT1,2,0,15,0
MOGAT2,0,0,0,0
MOGAT3,6,5,106,1
MOGS,3211,1310,17485,2325
MOK,11768,1401,31798,7229
MON1A,744,274,1241,304
MON1B,4279,1073,12217,1158
MON2,5601,1744,20910,1223
MORC1,0,15,0,0
MORC1-AS1,0,0,0,0
MORC2,2298,501,18353,1911
MORC2-AS1,10,0,65,7
MORC3,2395,1239,9396,864
MORC4,1767,1053,11476,1398
MORF4,0,0,2,0
MORF4L1,26428,8431,33520,7034
MORF4L1P1,450,73,837,390
MORF4L1P4,0,0,3,0
MORF4L1P5,0,0,0,0
MORF4L1P6,0,0,0,0
MORF4L1P7,0,0,0,0
MORF4L2,26359,7164,43523,8429
MORF4L2-AS1,24,9,153,11
MORF4L2P1,2,0,0,0
MORN1,190,101,2470,203
MORN2,1752,449,2216,134
MORN3,78,0,113,0
MORN4,387,74,3448,130
MORN5,2,0,3,0
MOS,0,0,0,0
MOSMO,9822,1319,44028,2490
MOSPD1,1428,328,7203,271
MOSPD2,7383,1409,7901,647
MOSPD3,1027,336,4331,576
MOV10,6395,1837,8829,2152
MOV10L1,4,0,115,1
MOXD1,3335,4857,4968,76
MOXD2P,0,0,0,0
MPC1,990,536,1272,242
MPC1L,0,0,1,0
MPC2,943,502,6543,429
MPDU1,3857,1228,12791,1972
MPDZ,1119,423,32683,1777
MPEG1,0,2,0,0
MPG,4022,1366,5785,1795
MPHOSPH10,3767,1613,12147,1541
MPHOSPH6,2424,430,5050,686
MPHOSPH8,3444,1664,20597,1352
MPHOSPH9,2962,1363,5574,1275
MPI,1229,815,1905,395
MPIG6B,24,8,15,0
MPL,3,0,0,0
MPLKIP,2665,812,22671,897
MPND,299,207,418,153
MPO,26,30,0,0
MPP1,707,286,355,459
MPP2,54,159,1370,161
MPP3,246,87,2487,138
MPP4,353,18,285,255
MPP5,2564,1321,4613,1567
MPP6,1933,717,14418,1639
MPP7,1,5,65,11
MPPE1,1377,380,1287,127
MPPE1P1,0,0,0,0
MPPED1,6,0,12,0
MPPED2,2,27,156,4
MPRIP,36213,6723,29650,6596
MPRIP-AS1,4,0,0,3
MPRIPP1,17,8,39,4
MPST,778,537,2409,747
MPTX1,0,0,0,0
MPV17,3454,1596,10647,1486
MPV17L,52,7,84,1
MPV17L2,1008,274,1284,317
MPZ,34039,1474,291,576
MPZL1,570,1369,18917,2247
MPZL2,2,6,0,0
MPZL3,20,8,90,0
MR1,400,365,10264,170
MRAP,7,8,6,1
MRAP2,261,58,72,42
MRAS,1514,736,1132,354
MRC1,2,0,54,2
MRC2,20948,5430,32995,18012
MRE11,2445,1446,2250,734
MRE11P1,0,0,0,0
MREG,830,1974,720,257
MREGP1,0,0,1,0
MRFAP1,18532,5666,58347,8135
MRFAP1L1,3972,1086,15934,1309
MRGBP,2143,809,9964,1855
MRGPRD,0,0,2,0
MRGPRE,0,0,2,0
MRGPRF,0,103,2,2
MRGPRF-AS1,0,23,4,0
MRGPRG,0,0,0,0
MRGPRG-AS1,0,0,0,0
MRGPRX1,0,0,0,0
MRGPRX2,0,0,0,0
MRGPRX3,70,39,156,41
MRGPRX4,255,77,376,320
MRI1,1628,769,4911,563
MRLN,0,0,9,0
MRM1,413,260,1315,212
MRM2,5317,1726,16413,1748
MRM3,793,371,3570,352
MRNIP,2430,506,4510,588
MRO,24,20,80,14
MROH1,1361,713,10524,979
MROH2A,25,89,0,21
MROH2B,0,0,0,0
MROH3P,0,0,8,0
MROH4P,0,0,1,0
MROH5,0,0,2,0
MROH6,140,62,3243,175
MROH7,0,5,35,0
MROH7-TTC4,0,0,26,0
MROH8,74,10,465,101
MROH9,6,0,0,0
MRPL1,1090,412,3620,595
MRPL10,1498,609,7096,970
MRPL11,1408,830,2844,820
MRPL12,603,419,2698,1035
MRPL13,2286,963,8987,1248
MRPL14,1595,729,3999,863
MRPL15,2796,1232,3846,2674
MRPL15P1,0,0,3,0
MRPL16,1656,816,7104,936
MRPL17,2422,839,5613,2196
MRPL18,2610,1112,11080,1565
MRPL19,3388,1477,6397,1443
MRPL2,1307,542,9277,550
MRPL20,1870,695,6423,1276
MRPL20P1,0,0,0,0
MRPL21,1868,797,10493,511
MRPL22,1495,391,5591,728
MRPL22P1,0,0,1,0
MRPL23,159,62,2057,781
MRPL23-AS1,12,1,1,3
MRPL24,2456,1531,14732,1904
MRPL27,1408,853,6289,1027
MRPL28,3381,1078,14262,1574
MRPL2P1,0,0,1,0
MRPL3,6030,2417,22796,4013
MRPL30,1938,893,11314,1425
MRPL30P1,0,0,1,0
MRPL32,6466,1662,23505,1981
MRPL32P1,0,0,0,0
MRPL33,1929,839,10921,794
MRPL34,1298,808,4057,814
MRPL35,3936,2211,11007,2084
MRPL35P1,0,0,0,0
MRPL35P2,10,35,0,9
MRPL35P3,0,0,38,1
MRPL35P4,0,0,0,0
MRPL36,1125,413,5694,1430
MRPL37,3721,2139,21111,2608
MRPL37P1,0,4,31,0
MRPL38,513,229,1517,439
MRPL39,1919,963,6711,460
MRPL3P1,0,0,10,0
MRPL4,1920,994,9216,1264
MRPL40,2066,1103,2449,690
MRPL40P1,2,0,22,1
MRPL41,1852,748,6205,1156
MRPL42,5658,1648,19007,1501
MRPL42P2,0,0,1,0
MRPL42P3,0,0,0,0
MRPL42P4,0,0,0,0
MRPL42P6,0,0,0,0
MRPL43,1018,769,6947,705
MRPL44,1644,930,2791,962
MRPL45,2064,1043,5977,831
MRPL45P1,0,15,18,3
MRPL46,587,344,1740,293
MRPL47,2206,891,13193,1112
MRPL48,1063,528,3365,420
MRPL48P1,0,3,0,0
MRPL49,3785,1230,20976,1450
MRPL49P1,0,0,0,0
MRPL49P2,0,0,0,0
MRPL50,2437,707,6191,707
MRPL50P1,0,0,0,0
MRPL50P2,0,0,0,0
MRPL50P4,0,0,0,0
MRPL51,5723,1407,16237,2673
MRPL51P2,0,0,0,0
MRPL52,2448,974,5370,759
MRPL53,272,120,972,157
MRPL53P1,0,0,1,4
MRPL54,777,358,4078,484
MRPL55,1334,423,4625,338
MRPL57,1157,781,4259,862
MRPL57P6,0,0,0,0
MRPL57P7,0,0,0,0
MRPL58,839,446,2020,676
MRPL9,2207,823,9250,1356
MRPL9P1,0,0,0,0
MRPS10,3075,920,14169,1164
MRPS10P1,0,0,0,0
MRPS10P2,0,0,2,0
MRPS11,1784,670,5212,843
MRPS11P1,0,0,0,0
MRPS12,1247,522,5452,910
MRPS14,1796,754,6164,589
MRPS15,3362,1581,8315,1208
MRPS15P1,0,0,1,0
MRPS16,2144,1841,14793,1866
MRPS16P1,0,0,0,0
MRPS16P2,0,0,0,0
MRPS16P3,0,0,0,0
MRPS17,1057,434,4481,78
MRPS17P1,9,2,104,0
MRPS17P3,0,0,0,0
MRPS17P5,0,0,0,0
MRPS17P9,0,0,0,0
MRPS18A,2945,777,8536,763
MRPS18AP1,8,0,2,8
MRPS18B,4974,1226,8823,1432
MRPS18BP1,0,0,0,0
MRPS18BP2,0,0,0,0
MRPS18C,1481,500,4547,390
MRPS18CP4,0,0,0,0
MRPS18CP6,0,0,8,0
MRPS2,1399,628,6706,1638
MRPS21,2386,979,10328,916
MRPS21P1,0,0,0,0
MRPS21P2,0,0,0,0
MRPS21P3,0,0,0,0
MRPS21P6,0,0,4,0
MRPS21P7,0,0,0,0
MRPS21P8,0,0,0,0
MRPS21P9,0,0,0,0
